,seller,sales,shop_since,rating,favorers,listings,categories,macrame_products,years_in_business,items_sold_per_year,items_sold_per_month,avg_product_price,sales_per_month,sales_per_year,macrame_products_ratio,macrame_products_sales_per_year,macrame_products_sales_per_month,jewelry_products,decoration_products,material_products,macrame_sample_size,sample_listed_products,other_products
124,ArtyIsle,4,2019,0.0,7,30,4,3,0,4.0,2.0,1518.02,3036.04,6072.08,10.0,607.2080000000001,303.60400000000004,0.0,2.0,0.0,66.66666666666667,2.0,0.0
125,vess65,38981,2009,4.9461,8648,2761,19,885,10,3898.1,324.84166666666664,45.15105263157895,14666.943188596491,176003.31826315788,32.05360376675118,56415.40625240666,4701.2838543672215,0.0,0.0,19.0,2.146892655367232,19.0,0.0
126,KindofJoy,214,2016,4.9375,296,61,12,48,3,71.33333333333333,5.9444444444444455,726.4876190476192,4318.565291005291,51822.783492063485,78.68852459016394,40778.5837314598,3398.215310954983,0.0,21.0,0.0,43.75,21.0,0.0
127,VirgoVintageInLA,343,2013,5.0,395,87,6,1,6,57.16666666666666,4.763888888888889,4870.78,23203.854722222222,278446.25666666665,1.1494252873563218,3200.5316858237547,266.7109738186462,0.0,1.0,0.0,100.0,1.0,0.0
128,TheHaveKnotsPDX,1,2018,0.0,21,26,0,26,1,1.0,0.08333333333333333,497.02,41.41833333333333,497.02,100.0,497.02,41.41833333333333,0.0,1.0,0.0,3.8461538461538463,1.0,0.0
129,BustlesandBonnets,46,2016,5.0,51,61,14,2,3,15.333333333333336,1.2777777777777777,3479.13,4445.5549999999985,53346.66,3.278688524590164,1749.0708196721314,145.75590163934424,0.0,1.0,0.0,50.0,1.0,0.0
130,StudioSunnyThreads,890,2016,4.8804,598,141,14,113,3,296.6666666666667,24.722222222222218,428.70666666666665,10598.58148148148,127182.97777777778,80.1418439716312,101926.78360914103,8493.898634095087,0.0,0.0,12.0,10.619469026548671,12.0,0.0
131,GransTreasures,5739,2009,5.0,1797,1623,12,71,10,573.9,47.825,258.30675,12353.52031875,148242.243825,4.374614910659273,6485.027302264325,540.4189418553605,1.0,1.0,40.0,59.15492957746479,42.0,0.0
132,OzloDesigns,61,2016,5.0,87,19,4,18,3,20.33333333333333,1.6944444444444444,693.7639999999999,1175.5445555555555,14106.534666666665,94.73684210526315,13364.085473684208,1113.6737894736839,0.0,4.0,1.0,27.777777777777782,5.0,0.0
133,HippieMoments,163,2009,5.0,45,9,1,9,10,16.3,1.3583333333333334,64.27363636363638,87.30502272727276,1047.6602727272732,100.0,1047.6602727272732,87.30502272727276,0.0,0.0,11.0,122.22222222222223,11.0,0.0
134,TiedandSea,3,2018,0.0,6,13,1,13,1,3.0,0.25,1192.84,298.21,3578.5199999999995,100.0,3578.5199999999995,298.21,0.0,1.0,0.0,7.6923076923076925,1.0,0.0
135,HustleHomeDecor,24,2017,4.8333,82,37,5,37,2,12.0,1.0,1123.2614285714283,1123.2614285714283,13479.137142857142,100.0,13479.137142857142,1123.2614285714283,0.0,14.0,0.0,37.837837837837846,14.0,0.0
136,Tinaworks,9624,2012,4.7188,2385,440,11,70,7,1374.857142857143,114.57142857142857,129.22,14804.92,177659.04,15.909090909090908,28263.938181818183,2355.3281818181813,0.0,0.0,1.0,1.4285714285714286,1.0,0.0
137,BrickMagnolia,23,2018,4.75,28,21,0,21,1,23.0,1.9166666666666667,760.0569230769231,1456.7757692307694,17481.30923076923,100.0,17481.30923076923,1456.7757692307694,0.0,13.0,0.0,61.904761904761905,13.0,0.0
138,muranoandtaguacanada,1367,2008,5.0,8556,43,7,1,11,124.27272727272728,10.356060606060606,695.83,7206.05765151515,86472.69181818183,2.3255813953488373,2010.9928329809727,167.5827360817477,0.0,1.0,0.0,100.0,1.0,0.0
139,AlomKnitCrochet,20,2018,4.97799450549,33,53,8,8,1,20.0,1.6666666666666667,807.5316666666668,1345.8861111111114,16150.633333333335,15.094339622641508,2437.831446540881,203.1526205450734,0.0,6.0,0.0,75.0,6.0,0.0
140,HandsomeAndDarling,4,2018,5.0,5,15,1,15,1,4.0,0.3333333333333333,1278.2,426.06666666666666,5112.8,100.0,5112.8,426.06666666666666,0.0,0.0,0.0,0.0,0.0,1.0
141,Dreamcatchersbdesign,0,2016,0.0,4,12,0,10,3,0.0,0.0,1068.38,0.0,0.0,83.33333333333333,0.0,0.0,0.0,4.0,0.0,40.0,4.0,0.0
142,kjksCozyDecor,25,2018,5.0,195,42,6,33,1,25.0,2.083333333333333,677.9566666666667,1412.4097222222226,16948.916666666668,78.57142857142857,13317.005952380952,1109.7504960317465,0.0,9.0,0.0,27.272727272727273,9.0,0.0
143,CactusAndWillow,77,2018,5.0,53,10,5,10,1,77.0,6.416666666666668,192.31,1233.9891666666667,14807.87,100.0,14807.87,1233.9891666666667,0.0,0.0,2.0,20.0,2.0,0.0
144,JRaysHomemade,11,2018,5.0,30,30,2,26,1,11.0,0.9166666666666666,1114.9100000000003,1022.0008333333336,12264.010000000006,86.66666666666669,10628.80866666667,885.7340555555559,0.0,10.0,0.0,38.46153846153846,10.0,0.0
145,LaPerlinea,209,2013,0.0,179,37,5,30,6,34.833333333333336,2.9027777777777777,172.9244999999999,501.96139583333314,6023.5367499999975,81.08108108108108,4883.948716216215,406.99572635135115,4.0,0.0,19.0,76.66666666666667,23.0,0.0
146,SpruceMooseShop,1370,2011,4.9365,312,107,9,10,8,171.25,14.270833333333336,84.49,1205.7427083333332,14468.9125,9.345794392523365,1352.234813084112,112.686234423676,0.0,0.0,1.0,10.0,1.0,0.0
147,IyataTreasures,0,2019,0.0,3,2,1,1,0,0.0,0.0,1093.24,0.0,0.0,50.0,0.0,0.0,0.0,1.0,0.0,100.0,1.0,0.0
148,Trinketyard,628,2018,4.9674,193,338,14,165,1,628.0,52.33333333333334,61.63,3225.3033333333337,38703.64,48.816568047337284,18893.78875739645,1574.4823964497045,1.0,0.0,1.0,1.2121212121212122,2.0,0.0
149,MotherlandCompany,120,2017,5.0,160,37,2,16,2,60.0,5.0,1060.3044444444447,5301.522222222224,63618.26666666669,43.24324324324325,27510.601801801808,2292.5501501501512,0.0,9.0,0.0,56.25,9.0,0.0
150,crownyarns,372,2017,4.68,241,93,7,85,2,186.0,15.5,1540.6515789473685,23880.099473684208,286561.19368421054,91.39784946236557,261910.76842105255,21825.89736842105,0.0,1.0,18.0,22.352941176470583,19.0,0.0
151,Hobbyshop2015,1156,2015,5.0,2656,57,5,19,4,289.0,24.08333333333333,51.49,1240.0508333333332,14880.61,33.333333333333336,4960.203333333334,413.35027777777776,0.0,0.0,1.0,5.2631578947368425,1.0,0.0
152,PELLSatelier,3,2013,0.0,44,12,0,12,6,0.5,0.04166666666666666,8946.32,372.76333333333326,4473.16,100.0,4473.16,372.76333333333326,0.0,1.0,0.0,8.333333333333334,1.0,0.0
153,TribalAfternoon,96,2012,5.0,48,68,4,68,7,13.714285714285715,1.1428571428571428,1536.6154166666668,1756.1319047619047,21073.582857142857,100.0,21073.582857142857,1756.1319047619047,1.0,21.0,0.0,32.35294117647059,22.0,2.0
154,BiancaGreenArt,6,2018,0.0,29,21,2,20,1,6.0,0.5,1464.2189999999994,732.1094999999997,8785.313999999997,95.23809523809523,8366.965714285714,697.2471428571428,0.0,10.0,0.0,50.0,10.0,0.0
155,WilderCords,34,2017,5.0,60,17,5,14,2,17.0,1.4166666666666667,2477.48,3509.7633333333333,42117.16,82.3529411764706,34684.720000000016,2890.393333333333,0.0,2.0,0.0,14.285714285714285,2.0,0.0
156,Mettaweaving,635,2013,4.9655,3445,224,15,179,6,105.83333333333331,8.819444444444445,1296.7467272727265,11436.585719696963,137239.02863636357,79.91071428571429,109668.68806209408,9139.05733850784,0.0,42.0,0.0,23.463687150837988,42.0,13.0
157,MacramadeByHand,2,2019,0.0,5,18,0,18,0,2.0,1.0,530.15,530.15,1060.3,100.0,1060.3,530.15,0.0,3.0,0.0,16.666666666666668,3.0,0.0
158,MaisonMacrame,56,2018,5.0,70,24,6,24,1,56.0,4.666666666666667,1088.0181818181818,5077.418181818181,60929.01818181817,100.0,60929.01818181817,5077.418181818181,0.0,11.0,0.0,45.83333333333334,11.0,0.0
159,Beadlanta,168248,2014,4.939,15203,15344,19,1572,5,33649.6,2804.133333333333,97.81,274272.2813333333,3291267.376,10.24504692387904,337191.8870615225,28099.323921793533,5.0,0.0,5.0,0.6361323155216285,10.0,0.0
160,TerraCreaciones,4,2017,0.0,125,9,2,9,2,2.0,0.16666666666666666,630.63,105.105,1261.26,100.0,1261.26,105.105,0.0,2.0,0.0,22.222222222222218,2.0,0.0
161,BohoChicHome,4,2018,0.0,27,22,4,22,1,4.0,0.3333333333333333,618.9449999999998,206.315,2475.78,100.0,2475.78,206.315,0.0,2.0,2.0,18.181818181818183,4.0,0.0
162,HolyChicBoutiqueCo,1914,2016,4.9364,627,216,13,29,3,638.0,53.16666666666666,1848.906,98300.16900000001,1179602.028,13.425925925925926,158372.49449999994,13197.707874999998,0.0,15.0,0.0,51.72413793103448,15.0,0.0
163,emFiberCraft,96,2018,5.0,66,57,5,55,1,96.0,8.0,556.66,4453.28,53439.36,96.49122807017544,51564.29473684211,4297.024561403508,0.0,1.0,0.0,1.818181818181818,1.0,0.0
164,RecycleBinTreasure,240,2016,4.9714,81,144,15,1,3,80.0,6.666666666666668,,,,0.6944444444444444,,,0.0,0.0,0.0,0.0,0.0,0.0
