,sales,favorers,listings,macrame_products,years_in_business,items_sold_per_year,items_sold_per_month,avg_product_price,sales_per_month,sales_per_year,macrame_products_ratio,macrame_products_sales_per_year,macrame_products_sales_per_month,jewelry_products,decoration_products,material_products,macrame_sample_size,sample_listed_products,jewelry_products_profits,decoration_products_profits,material_products_profits,jewelry_products_quantities,decoration_products_quantities,material_products_quantities,decoration_products_sold_per_year,jewelry_products_sold_per_year,material_products_sold_per_year
334,4094,828,1563,28,8,511.75,42.645833333333336,145.04272727272723,6185.467973484848,74225.61568181816,1.7914267434420983,1329.6975298086427,110.80812748405356,0.0,0.0,22.0,78.57142857142857,22.0,0.0,0.0,132969.75298086426,0.0,0.0,0.014075495841330775,0.0,0.0,7.2031349968010225
335,1722,11234,226,11,8,215.25,17.9375,2849.566666666667,51114.10208333334,613369.2250000001,4.867256637168142,29854.254314159298,2487.854526179941,0.0,1.0,0.0,9.090909090909092,1.0,0.0,2985425.43141593,0.0,0.0,0.004424778761061947,0.0,0.9524336283185841,0.0,0.0
336,246,239,889,95,1,246.0,20.5,213.52,4377.16,52525.92,10.686164229471316,5613.00607424072,467.7505061867267,0.0,0.0,1.0,1.0526315789473684,1.0,0.0,0.0,561300.607424072,0.0,0.0,0.001124859392575928,0.0,0.0,0.2767154105736783
337,57759,12293,1025,460,9,6417.666666666668,534.8055555555555,90.6876,48500.2323,582002.7876,44.878048780487795,261191.4949229268,21765.957910243902,9.0,0.0,15.0,5.217391304347826,24.0,9794681.059609754,0.0,16324468.432682926,0.00878048780487805,0.0,0.014634146341463412,0.0,56.35024390243904,93.91707317073171
338,9,24,2,2,8,1.125,0.09375,854.87,80.1440625,961.72875,100.0,961.72875,80.1440625,0.0,2.0,0.0,100.0,2.0,0.0,96172.875,0.0,0.0,1.0,0.0,1.125,0.0,0.0
339,6,15,13,13,2,3.0,0.25,894.635,223.65875,2683.905,100.0,2683.905,223.65875,0.0,1.0,0.0,7.6923076923076925,1.0,0.0,268390.5,0.0,0.0,0.07692307692307693,0.0,0.2307692307692308,0.0,0.0
340,17211,3876,1064,365,5,3442.2,286.85,65.61785714285715,18822.482321428568,225869.7878571429,34.304511278195484,77483.5268494898,6456.96057079082,0.0,0.0,14.0,3.8356164383561633,14.0,0.0,0.0,7748352.684948981,0.0,0.0,0.013157894736842106,0.0,0.0,45.29210526315789
341,3630,974,616,528,2,1815.0,151.25,182.9,27663.625,331963.5,85.71428571428571,284540.14285714284,23711.67857142857,0.0,0.0,2.0,0.3787878787878788,2.0,0.0,0.0,28454014.285714284,0.0,0.0,0.0032467532467532465,0.0,0.0,5.892857142857142
342,89,114,22,5,1,89.0,7.416666666666668,337.84,2505.6466666666665,30067.76,22.72727272727273,6833.581818181818,569.4651515151512,1.0,0.0,0.0,20.0,1.0,683358.1818181818,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,4.045454545454546,0.0
343,5534,869,878,567,7,790.5714285714287,65.8809523809524,69.58,4583.996666666667,55007.96,64.57858769931663,35523.36369020501,2960.2803075170837,0.0,0.0,1.0,0.1763668430335097,1.0,0.0,0.0,3552336.369020501,0.0,0.0,0.0011389521640091116,0.0,0.0,0.9004230393752034
